Datum;Artikelnummer;Artikel;Menge;Umsatz;Einkaufspreis;Gebühren;Versandkosten;Kanal;Bestellnummer
07.04.2026;KRZ-050;Sojakerze Zeder;2;37,00;5,20;3,88;5,15;Etsy;ORD-10161
07.04.2026;TEX-014;Leinenkissen 45×45;1;39,00;14,50;4,09;0,00;Etsy;ORD-10161
07.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;2,13;5,23;eBay;ORD-10162
08.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,00;Etsy;ORD-10163
08.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;3,66;Etsy;ORD-10164
08.04.2026;TEX-014;Leinenkissen 45×45;2;78,00;14,50;8,19;4,77;Etsy;ORD-10165
09.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;4,92;Etsy;ORD-10166
09.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;0,00;Etsy;ORD-10166
09.04.2026;KRZ-051;Kerzen-Set 3er;2;90,00;13,80;9,45;5,51;Etsy;ORD-10167
09.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,75;Etsy;ORD-10168
10.04.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;4,33;Etsy;ORD-10169
10.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,53;4,65;eBay;ORD-10170
10.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,53;0,00;eBay;ORD-10170
10.04.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,19;5,50;Etsy;ORD-10171
10.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,09;4,46;eBay;ORD-10172
11.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;4,60;Shopify;ORD-10173
11.04.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;3,63;Etsy;ORD-10174
12.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;5,35;Etsy;ORD-10175
12.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;4,80;Etsy;ORD-10176
13.04.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;3,81;Etsy;ORD-10177
13.04.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;3,89;Etsy;ORD-10178
13.04.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;4,08;Etsy;ORD-10179
13.04.2026;TEX-014;Leinenkissen 45×45;2;78,00;14,50;2,50;3,69;Shopify;ORD-10180
14.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;1,00;4,60;Etsy;ORD-10181
14.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;5,69;Shopify;ORD-10182
14.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;0,00;Shopify;ORD-10182
14.04.2026;PRT-221;Kunstdruck A2 Düne;2;64,00;6,30;2,05;3,80;Shopify;ORD-10183
14.04.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;3,62;Etsy;ORD-10184
15.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;4,05;Etsy;ORD-10185
15.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;5,13;Shopify;ORD-10186
16.04.2026;SCH-100;Silberkette Luna;1;59,00;18,00;6,79;3,73;eBay;ORD-10187
16.04.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;1,44;5,48;Shopify;ORD-10188
16.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;0,70;0,00;Shopify;ORD-10188
16.04.2026;TEX-014;Leinenkissen 45×45;2;78,00;14,50;8,97;5,05;eBay;ORD-10189
16.04.2026;KRZ-051;Kerzen-Set 3er;2;90,00;13,80;2,88;5,55;Shopify;ORD-10190
17.04.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;1,02;3,75;Shopify;ORD-10191
17.04.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;1,99;4,22;Etsy;ORD-10192
17.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;0,00;Etsy;ORD-10192
18.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;1,94;4,79;Etsy;ORD-10193
19.04.2026;SEI-010;Naturseife Lavendel;2;19,00;2,40;0,61;3,67;Shopify;ORD-10194
19.04.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;3,36;4,90;Etsy;ORD-10195
19.04.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;4,72;0,00;Etsy;ORD-10195
19.04.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,04;5,12;Etsy;ORD-10196
20.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,08;Etsy;ORD-10197
20.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;5,06;Shopify;ORD-10198
20.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;0,51;0,00;Shopify;ORD-10198
20.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;0,51;3,96;Shopify;ORD-10199
20.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;0,70;0,00;Shopify;ORD-10199
21.04.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;0,80;4,59;Shopify;ORD-10200
21.04.2026;SEI-010;Naturseife Lavendel;1;9,50;2,40;0,30;0,00;Shopify;ORD-10200
21.04.2026;KRZ-051;Kerzen-Set 3er;1;45,00;13,80;4,72;4,95;Etsy;ORD-10201
21.04.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;3,57;4,45;Etsy;ORD-10202
21.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;0,00;Etsy;ORD-10202
22.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;0,70;4,18;Shopify;ORD-10203
22.04.2026;PRT-220;Kunstdruck A3 Fjord;1;22,00;4,10;2,31;5,56;Etsy;ORD-10204
22.04.2026;KER-002;Keramikschale Ocean;1;34,00;11,00;1,09;5,27;Shopify;ORD-10205
22.04.2026;PRT-221;Kunstdruck A2 Düne;1;32,00;6,30;1,02;4,98;Shopify;ORD-10206
23.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;0,59;4,37;Shopify;ORD-10207
23.04.2026;SCH-102;Ohrringe Nova;1;29,00;8,40;3,04;3,61;Etsy;ORD-10208
24.04.2026;KRZ-050;Sojakerze Zeder;1;18,50;5,20;2,13;5,48;eBay;ORD-10209
24.04.2026;PAP-300;Notizbuch Recycling;1;16,00;4,60;1,68;4,58;Etsy;ORD-10210
24.04.2026;KER-001;Keramiktasse Sand;1;24,90;7,20;2,61;5,42;Etsy;ORD-10211
