Date,SKU,Product,Quantity,Revenue,Unit cost,Fees,Shipping,Channel,Order ID
2026-02-18,SCH-102,Earrings Nova,2,58.00,8.40,6.09,4.77,Etsy,ORD-10022
2026-02-19,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,3.89,Etsy,ORD-10023
2026-02-20,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.42,Etsy,ORD-10024
2026-02-20,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,5.56,Shopify,ORD-10025
2026-02-21,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,4.65,Etsy,ORD-10026
2026-02-21,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,5.72,Shopify,ORD-10027
2026-02-21,SEI-010,Natural Soap Lavender,2,19.00,2.40,0.61,5.37,Shopify,ORD-10028
2026-02-22,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,5.39,Shopify,ORD-10029
2026-02-22,TEX-020,Wool Blanket Nordic,1,89.00,34.00,9.34,3.87,Etsy,ORD-10030
2026-02-23,KRZ-051,Candle Set of 3,1,45.00,13.80,1.44,5.19,Shopify,ORD-10031
2026-02-23,SCH-102,Earrings Nova,1,29.00,8.40,3.04,5.02,Etsy,ORD-10032
2026-02-23,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,0.00,Etsy,ORD-10032
2026-02-23,SCH-102,Earrings Nova,1,29.00,8.40,3.04,4.44,Etsy,ORD-10033
2026-02-23,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,0.00,Etsy,ORD-10033
2026-02-24,SCH-102,Earrings Nova,1,29.00,8.40,3.04,5.78,Etsy,ORD-10034
2026-02-24,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.04,Etsy,ORD-10035
2026-02-24,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,0.00,Etsy,ORD-10035
2026-02-24,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.08,Etsy,ORD-10036
2026-02-24,SEI-010,Natural Soap Lavender,2,19.00,2.40,1.99,4.45,Etsy,ORD-10037
2026-02-25,PAP-300,Recycled Notebook,1,16.00,4.60,0.51,4.77,Shopify,ORD-10038
2026-02-25,KER-001,Ceramic Mug Sand,2,49.80,7.20,1.59,0.00,Shopify,ORD-10038
2026-02-25,PAP-300,Recycled Notebook,1,16.00,4.60,0.51,4.91,Shopify,ORD-10039
2026-02-25,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,5.03,Etsy,ORD-10040
2026-02-26,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.09,4.79,eBay,ORD-10041
2026-02-26,PRT-221,Art Print A2 Dune,1,32.00,6.30,1.02,4.36,Shopify,ORD-10042
2026-02-26,SCH-102,Earrings Nova,1,29.00,8.40,0.93,0.00,Shopify,ORD-10042
2026-02-26,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,4.97,Shopify,ORD-10043
2026-02-27,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,5.24,Etsy,ORD-10044
2026-02-27,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.43,Etsy,ORD-10045
2026-02-28,PAP-300,Recycled Notebook,1,16.00,4.60,0.51,5.40,Shopify,ORD-10046
2026-03-01,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,4.79,Etsy,ORD-10047
2026-03-01,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.79,Etsy,ORD-10048
2026-03-01,KRZ-050,Soy Candle Cedar,2,37.00,5.20,3.88,0.00,Etsy,ORD-10048
2026-03-02,PAP-300,Recycled Notebook,1,16.00,4.60,1.84,4.97,eBay,ORD-10049
2026-03-02,SCH-102,Earrings Nova,1,29.00,8.40,0.93,5.74,Shopify,ORD-10050
2026-03-03,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,4.24,Etsy,ORD-10051
2026-03-03,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,4.05,Etsy,ORD-10052
2026-03-03,TEX-014,Linen Cushion 45×45,1,39.00,14.50,1.25,5.48,Shopify,ORD-10053
2026-03-03,SCH-102,Earrings Nova,1,29.00,8.40,0.93,0.00,Shopify,ORD-10053
2026-03-03,PAP-300,Recycled Notebook,1,16.00,4.60,0.51,4.90,Shopify,ORD-10054
2026-03-04,KRZ-050,Soy Candle Cedar,2,37.00,5.20,1.18,4.81,Shopify,ORD-10055
2026-03-04,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,0.00,Shopify,ORD-10055
2026-03-04,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,4.04,Shopify,ORD-10056
2026-03-04,KRZ-050,Soy Candle Cedar,2,37.00,5.20,3.88,3.77,Etsy,ORD-10057
2026-03-05,SCH-102,Earrings Nova,1,29.00,8.40,3.33,4.56,eBay,ORD-10058
2026-03-05,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,4.85,Shopify,ORD-10059
2026-03-06,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,4.82,Etsy,ORD-10060
2026-03-06,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,4.34,Etsy,ORD-10061
2026-03-06,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,3.77,Etsy,ORD-10062
2026-03-06,KRZ-051,Candle Set of 3,2,90.00,13.80,9.45,0.00,Etsy,ORD-10062
2026-03-07,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,4.11,Etsy,ORD-10063
2026-03-07,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,4.93,Etsy,ORD-10064
2026-03-07,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,0.00,Etsy,ORD-10064
2026-03-07,PRT-220,Art Print A3 Fjord,2,44.00,4.10,1.41,4.25,Shopify,ORD-10065
2026-03-08,SCH-102,Earrings Nova,1,29.00,8.40,3.33,5.77,eBay,ORD-10066
2026-03-08,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,5.30,Etsy,ORD-10067
2026-03-09,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,5.28,Etsy,ORD-10068
2026-03-09,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,0.00,Etsy,ORD-10068
2026-03-09,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,3.93,Etsy,ORD-10069
2026-03-09,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,4.00,Etsy,ORD-10070
2026-03-10,SCH-102,Earrings Nova,2,58.00,8.40,6.09,5.29,Etsy,ORD-10071
2026-03-10,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,3.68,Etsy,ORD-10072
2026-03-10,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.42,Etsy,ORD-10073
2026-03-11,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.73,Etsy,ORD-10074
2026-03-11,PRT-220,Art Print A3 Fjord,2,44.00,4.10,1.41,5.41,Shopify,ORD-10075
2026-03-11,TEX-020,Wool Blanket Nordic,2,178.00,34.00,5.70,0.00,Shopify,ORD-10075
2026-03-11,KRZ-050,Soy Candle Cedar,2,37.00,5.20,4.25,4.08,eBay,ORD-10076
2026-03-11,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,4.15,Shopify,ORD-10077
2026-03-12,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,5.68,Etsy,ORD-10078
2026-03-12,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,0.00,Etsy,ORD-10078
2026-03-12,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,4.30,Etsy,ORD-10079
2026-03-12,PRT-221,Art Print A2 Dune,2,64.00,6.30,6.72,0.00,Etsy,ORD-10079
2026-03-12,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,5.63,Etsy,ORD-10080
2026-03-13,KRZ-051,Candle Set of 3,1,45.00,13.80,5.17,3.63,eBay,ORD-10081
2026-03-13,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,5.52,Etsy,ORD-10082
2026-03-13,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,0.00,Etsy,ORD-10082
2026-03-13,SCH-102,Earrings Nova,1,29.00,8.40,0.93,4.05,Shopify,ORD-10083
2026-03-14,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.53,4.64,eBay,ORD-10084
2026-03-14,PRT-220,Art Print A3 Fjord,2,44.00,4.10,1.41,5.26,Shopify,ORD-10085
2026-03-14,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,3.74,Shopify,ORD-10086
2026-03-14,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,0.00,Shopify,ORD-10086
2026-03-15,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.53,5.08,eBay,ORD-10087
2026-03-15,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.71,Etsy,ORD-10088
2026-03-15,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,0.00,Etsy,ORD-10088
2026-03-16,PRT-220,Art Print A3 Fjord,2,44.00,4.10,5.06,4.02,eBay,ORD-10089
2026-03-16,TEX-014,Linen Cushion 45×45,1,39.00,14.50,1.25,5.48,Shopify,ORD-10090
2026-03-16,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,4.23,Etsy,ORD-10091
2026-03-17,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,4.35,Etsy,ORD-10092
2026-03-17,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.23,Etsy,ORD-10093
2026-03-17,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,0.00,Etsy,ORD-10093
2026-03-17,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,4.27,Shopify,ORD-10094
2026-03-17,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,4.35,Shopify,ORD-10095
2026-03-17,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,1.09,0.00,Shopify,ORD-10095
2026-03-18,TEX-020,Wool Blanket Nordic,1,89.00,34.00,9.34,4.75,Etsy,ORD-10096
2026-03-18,KER-002,Ceramic Bowl Ocean,2,68.00,11.00,7.14,5.44,Etsy,ORD-10097
2026-03-18,TEX-014,Linen Cushion 45×45,2,78.00,14.50,8.19,0.00,Etsy,ORD-10097
2026-03-18,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,5.38,Shopify,ORD-10098
2026-03-19,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.18,Etsy,ORD-10099
2026-03-19,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,3.75,Shopify,ORD-10100
2026-03-19,SCH-102,Earrings Nova,1,29.00,8.40,0.93,4.95,Shopify,ORD-10101
2026-03-20,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.90,Etsy,ORD-10102
2026-03-20,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.86,5.69,eBay,ORD-10103
2026-03-20,TEX-014,Linen Cushion 45×45,2,78.00,14.50,8.97,0.00,eBay,ORD-10103
2026-03-20,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,4.33,Etsy,ORD-10104
2026-03-20,PRT-220,Art Print A3 Fjord,2,44.00,4.10,1.41,4.58,Shopify,ORD-10105
2026-03-21,PRT-220,Art Print A3 Fjord,2,44.00,4.10,4.62,5.16,Etsy,ORD-10106
2026-03-21,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,3.63,Etsy,ORD-10107
2026-03-21,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,3.85,Etsy,ORD-10108
2026-03-22,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.39,Etsy,ORD-10109
2026-03-22,SCH-102,Earrings Nova,2,58.00,8.40,6.09,4.20,Etsy,ORD-10110
2026-03-22,KER-002,Ceramic Bowl Ocean,2,68.00,11.00,7.14,5.73,Etsy,ORD-10111
2026-03-23,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.45,Etsy,ORD-10112
2026-03-23,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,3.72,Etsy,ORD-10113
2026-03-24,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,5.24,Etsy,ORD-10114
2026-03-24,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,4.08,Shopify,ORD-10115
2026-03-24,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,4.10,Etsy,ORD-10116
2026-03-24,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,5.10,Etsy,ORD-10117
2026-03-24,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,0.00,Etsy,ORD-10117
2026-03-25,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,5.45,Shopify,ORD-10118
2026-03-25,SEI-010,Natural Soap Lavender,2,19.00,2.40,0.61,5.67,Shopify,ORD-10119
2026-03-25,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.90,Etsy,ORD-10120
2026-03-25,SEI-010,Natural Soap Lavender,2,19.00,2.40,1.99,0.00,Etsy,ORD-10120
2026-03-26,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,5.45,Etsy,ORD-10121
2026-03-26,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.42,Etsy,ORD-10122
2026-03-26,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,3.83,Shopify,ORD-10123
2026-03-27,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,5.26,Etsy,ORD-10124
2026-03-27,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.26,Etsy,ORD-10125
2026-03-27,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,0.00,Etsy,ORD-10125
2026-03-27,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,5.56,Etsy,ORD-10126
2026-03-28,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,3.62,Shopify,ORD-10127
2026-03-28,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,4.98,Etsy,ORD-10128
2026-03-28,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,5.70,Etsy,ORD-10129
2026-03-29,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.05,Etsy,ORD-10130
2026-03-30,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,5.07,Etsy,ORD-10131
2026-03-30,SEI-010,Natural Soap Lavender,2,19.00,2.40,1.99,3.60,Etsy,ORD-10132
2026-03-30,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,0.00,Etsy,ORD-10132
2026-03-30,PAP-300,Recycled Notebook,1,16.00,4.60,1.84,5.22,eBay,ORD-10133
2026-03-30,KER-002,Ceramic Bowl Ocean,2,68.00,11.00,7.82,0.00,eBay,ORD-10133
2026-03-30,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,3.79,Etsy,ORD-10134
2026-03-31,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,4.83,Shopify,ORD-10135
2026-03-31,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,4.39,Shopify,ORD-10136
2026-03-31,KRZ-050,Soy Candle Cedar,2,37.00,5.20,1.18,0.00,Shopify,ORD-10136
2026-03-31,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,3.88,Etsy,ORD-10137
2026-04-01,KRZ-050,Soy Candle Cedar,1,18.50,5.20,2.13,4.80,eBay,ORD-10138
2026-04-01,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,5.63,Etsy,ORD-10139
2026-04-01,TEX-020,Wool Blanket Nordic,1,89.00,34.00,9.34,5.41,Etsy,ORD-10140
2026-04-01,TEX-020,Wool Blanket Nordic,1,89.00,34.00,9.34,5.02,Etsy,ORD-10141
2026-04-02,KRZ-050,Soy Candle Cedar,2,37.00,5.20,1.18,4.80,Shopify,ORD-10142
2026-04-02,KRZ-051,Candle Set of 3,1,45.00,13.80,4.72,5.01,Etsy,ORD-10143
2026-04-02,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.09,4.82,eBay,ORD-10144
2026-04-02,KER-001,Ceramic Mug Sand,2,49.80,7.20,5.23,4.49,Etsy,ORD-10145
2026-04-03,TEX-014,Linen Cushion 45×45,1,39.00,14.50,1.25,5.13,Shopify,ORD-10146
2026-04-03,KRZ-051,Candle Set of 3,2,90.00,13.80,2.88,0.00,Shopify,ORD-10146
2026-04-03,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,5.29,Shopify,ORD-10147
2026-04-03,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,5.64,Etsy,ORD-10148
2026-04-03,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,4.22,Shopify,ORD-10149
2026-04-04,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,3.81,Etsy,ORD-10150
2026-04-04,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,0.00,Etsy,ORD-10150
2026-04-04,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.09,5.37,eBay,ORD-10151
2026-04-04,SCH-100,Silver Necklace Luna,2,118.00,18.00,12.39,4.10,Etsy,ORD-10152
2026-04-05,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,3.64,Etsy,ORD-10153
2026-04-05,KRZ-051,Candle Set of 3,1,45.00,13.80,5.17,4.89,eBay,ORD-10154
2026-04-05,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.49,4.69,eBay,ORD-10155
2026-04-06,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,5.48,Etsy,ORD-10156
2026-04-06,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,5.34,Etsy,ORD-10157
2026-04-06,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,3.71,Shopify,ORD-10158
2026-04-07,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.13,Etsy,ORD-10159
2026-04-07,KRZ-050,Soy Candle Cedar,1,18.50,5.20,2.13,3.70,eBay,ORD-10160
2026-04-07,KRZ-050,Soy Candle Cedar,2,37.00,5.20,3.88,5.15,Etsy,ORD-10161
2026-04-07,TEX-014,Linen Cushion 45×45,1,39.00,14.50,4.09,0.00,Etsy,ORD-10161
2026-04-07,KRZ-050,Soy Candle Cedar,1,18.50,5.20,2.13,5.23,eBay,ORD-10162
2026-04-08,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.00,Etsy,ORD-10163
2026-04-08,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,3.66,Etsy,ORD-10164
2026-04-08,TEX-014,Linen Cushion 45×45,2,78.00,14.50,8.19,4.77,Etsy,ORD-10165
2026-04-09,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,4.92,Etsy,ORD-10166
2026-04-09,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,0.00,Etsy,ORD-10166
2026-04-09,KRZ-051,Candle Set of 3,2,90.00,13.80,9.45,5.51,Etsy,ORD-10167
2026-04-09,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.75,Etsy,ORD-10168
2026-04-10,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,4.33,Etsy,ORD-10169
2026-04-10,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.53,4.65,eBay,ORD-10170
2026-04-10,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.53,0.00,eBay,ORD-10170
2026-04-10,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.19,5.50,Etsy,ORD-10171
2026-04-10,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.09,4.46,eBay,ORD-10172
2026-04-11,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,4.60,Shopify,ORD-10173
2026-04-11,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,3.63,Etsy,ORD-10174
2026-04-12,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,5.35,Etsy,ORD-10175
2026-04-12,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,4.80,Etsy,ORD-10176
2026-04-13,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,3.81,Etsy,ORD-10177
2026-04-13,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,3.89,Etsy,ORD-10178
2026-04-13,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,4.08,Etsy,ORD-10179
2026-04-13,TEX-014,Linen Cushion 45×45,2,78.00,14.50,2.50,3.69,Shopify,ORD-10180
2026-04-14,SEI-010,Natural Soap Lavender,1,9.50,2.40,1.00,4.60,Etsy,ORD-10181
2026-04-14,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,5.69,Shopify,ORD-10182
2026-04-14,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,0.00,Shopify,ORD-10182
2026-04-14,PRT-221,Art Print A2 Dune,2,64.00,6.30,2.05,3.80,Shopify,ORD-10183
2026-04-14,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,3.62,Etsy,ORD-10184
2026-04-15,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,4.05,Etsy,ORD-10185
2026-04-15,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,5.13,Shopify,ORD-10186
2026-04-16,SCH-100,Silver Necklace Luna,1,59.00,18.00,6.79,3.73,eBay,ORD-10187
2026-04-16,KRZ-051,Candle Set of 3,1,45.00,13.80,1.44,5.48,Shopify,ORD-10188
2026-04-16,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,0.00,Shopify,ORD-10188
2026-04-16,TEX-014,Linen Cushion 45×45,2,78.00,14.50,8.97,5.05,eBay,ORD-10189
2026-04-16,KRZ-051,Candle Set of 3,2,90.00,13.80,2.88,5.55,Shopify,ORD-10190
2026-04-17,PRT-221,Art Print A2 Dune,1,32.00,6.30,1.02,3.75,Shopify,ORD-10191
2026-04-17,SEI-010,Natural Soap Lavender,2,19.00,2.40,1.99,4.22,Etsy,ORD-10192
2026-04-17,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,0.00,Etsy,ORD-10192
2026-04-18,KRZ-050,Soy Candle Cedar,1,18.50,5.20,1.94,4.79,Etsy,ORD-10193
2026-04-19,SEI-010,Natural Soap Lavender,2,19.00,2.40,0.61,3.67,Shopify,ORD-10194
2026-04-19,PRT-221,Art Print A2 Dune,1,32.00,6.30,3.36,4.90,Etsy,ORD-10195
2026-04-19,KRZ-051,Candle Set of 3,1,45.00,13.80,4.72,0.00,Etsy,ORD-10195
2026-04-19,SCH-102,Earrings Nova,1,29.00,8.40,3.04,5.12,Etsy,ORD-10196
2026-04-20,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.08,Etsy,ORD-10197
2026-04-20,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,5.06,Shopify,ORD-10198
2026-04-20,PAP-300,Recycled Notebook,1,16.00,4.60,0.51,0.00,Shopify,ORD-10198
2026-04-20,PAP-300,Recycled Notebook,1,16.00,4.60,0.51,3.96,Shopify,ORD-10199
2026-04-20,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,0.00,Shopify,ORD-10199
2026-04-21,KER-001,Ceramic Mug Sand,1,24.90,7.20,0.80,4.59,Shopify,ORD-10200
2026-04-21,SEI-010,Natural Soap Lavender,1,9.50,2.40,0.30,0.00,Shopify,ORD-10200
2026-04-21,KRZ-051,Candle Set of 3,1,45.00,13.80,4.72,4.95,Etsy,ORD-10201
2026-04-21,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,3.57,4.45,Etsy,ORD-10202
2026-04-21,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,0.00,Etsy,ORD-10202
2026-04-22,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,4.18,Shopify,ORD-10203
2026-04-22,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,5.56,Etsy,ORD-10204
2026-04-22,KER-002,Ceramic Bowl Ocean,1,34.00,11.00,1.09,5.27,Shopify,ORD-10205
2026-04-22,PRT-221,Art Print A2 Dune,1,32.00,6.30,1.02,4.98,Shopify,ORD-10206
2026-04-23,KRZ-050,Soy Candle Cedar,1,18.50,5.20,0.59,4.37,Shopify,ORD-10207
2026-04-23,SCH-102,Earrings Nova,1,29.00,8.40,3.04,3.61,Etsy,ORD-10208
2026-04-24,KRZ-050,Soy Candle Cedar,1,18.50,5.20,2.13,5.48,eBay,ORD-10209
2026-04-24,PAP-300,Recycled Notebook,1,16.00,4.60,1.68,4.58,Etsy,ORD-10210
2026-04-24,KER-001,Ceramic Mug Sand,1,24.90,7.20,2.61,5.42,Etsy,ORD-10211
2026-04-25,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,3.62,Etsy,ORD-10212
2026-04-25,PRT-220,Art Print A3 Fjord,1,22.00,4.10,2.31,0.00,Etsy,ORD-10212
2026-04-25,PRT-220,Art Print A3 Fjord,1,22.00,4.10,0.70,5.32,Shopify,ORD-10213
